participant,video_id,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
6HARB,bbs,beta,3.418984008232748,34.04338909463084,9.334375,1.7875,9.56875,HN,LP,HNP
6HARB,bbs,gamma,0.9134964145545652,33.5511618451353,9.334375,1.7875,9.56875,HN,LP,HNP
6HARB,blf,delta,-0.8196576664517128,3.0093573073424107,3.15625,7.984375000000001,3.878125,LN,HP,LNP
6HARB,blf,theta,-1.5608858546615085,10.714189191292544,3.15625,7.984375000000001,3.878125,LN,HP,LNP
6HARB,blf,alpha,-1.2751845048431711,21.137328338784457,3.15625,7.984375000000001,3.878125,LN,HP,LNP
6HARB,blf,beta,3.3568971888862045,32.19107649294889,3.15625,7.984375000000001,3.878125,LN,HP,LNP
6HARB,blf,gamma,0.20715330803544063,31.7980095265006,3.15625,7.984375000000001,3.878125,LN,HP,LNP
6HARB,tsl,delta,-0.18786560944757902,3.5967758192993693,4.740625,7.403124999999999,7.684374999999999,LN,HP,HNP
6HARB,tsl,theta,-1.3135260099662336,15.43882644796064,4.740625,7.403124999999999,7.684374999999999,LN,HP,HNP
6HARB,tsl,alpha,-0.031158059213423073,17.64201590390782,4.740625,7.403124999999999,7.684374999999999,LN,HP,HNP
6HARB,tsl,beta,1.4700855518071627,30.312793096594216,4.740625,7.403124999999999,7.684374999999999,LN,HP,HNP
6HARB,tsl,gamma,0.6771771788897993,31.64499185694269,4.740625,7.403124999999999,7.684374999999999,LN,HP,HNP
6HARB,mar,delta,0.13729124936999337,3.2239570700484537,4.703125,6.64375,2.70625,LN,HP,LNP
6HARB,mar,theta,-0.7129901798376128,12.862408991933137,4.703125,6.64375,2.70625,LN,HP,LNP
6HARB,mar,alpha,-1.593069511657026,12.535577524774723,4.703125,6.64375,2.70625,LN,HP,LNP
6HARB,mar,beta,2.4473746615752887,38.015365153870704,4.703125,6.64375,2.70625,LN,HP,LNP
6HARB,mar,gamma,-0.2476574690358717,32.359965904852295,4.703125,6.64375,2.70625,LN,HP,LNP
6HARB,cah,delta,-0.13051104562375082,2.134733489137243,6.53125,5.1625000000000005,6.94375,HN,HP,HNP
6HARB,cah,theta,-1.2560883862015029,9.993455813862514,6.53125,5.1625000000000005,6.94375,HN,HP,HNP
6HARB,cah,alpha,0.40645622179296126,17.465116645394648,6.53125,5.1625000000000005,6.94375,HN,HP,HNP
6HARB,cah,beta,0.4376986490950756,35.32894532402954,6.53125,5.1625000000000005,6.94375,HN,HP,HNP
6HARB,cah,gamma,0.6839238302117607,33.83850230818362,6.53125,5.1625000000000005,6.94375,HN,HP,HNP
6HARB,ser,delta,-0.6542926112592689,2.3996032809444845,7.421875,4.449999999999999,7.4875,HN,LP,HNP
6HARB,ser,theta,-1.3444579211712764,9.103081884096028,7.421875,4.449999999999999,7.4875,HN,LP,HNP
6HARB,ser,alpha,0.02499960632190934,18.767773727002407,7.421875,4.449999999999999,7.4875,HN,LP,HNP
6HARB,ser,beta,1.7755148650289883,34.434778159440825,7.421875,4.449999999999999,7.4875,HN,LP,HNP
6HARB,ser,gamma,0.27452211075745225,34.210974288286224,7.421875,4.449999999999999,7.4875,HN,LP,HNP
6HARB,aem,delta,-0.2875508513517384,2.578186492677906,7.75,3.409375,6.465625,HN,LP,HNP
6HARB,aem,theta,-1.2799580801661374,10.547618696008929,7.75,3.409375,6.465625,HN,LP,HNP
6HARB,aem,alpha,0.5913967264251525,16.264252415427872,7.75,3.409375,6.465625,HN,LP,HNP
6HARB,aem,beta,0.8986968521882659,35.55679744014092,7.75,3.409375,6.465625,HN,LP,HNP
6HARB,aem,gamma,0.12008192258625883,33.846256186908086,7.75,3.409375,6.465625,HN,LP,HNP
AY9SI,mar,delta,-0.18511280874184033,2.273275145648695,4.365625,6.503125,3.5781250000000004,LN,HP,LNP
AY9SI,mar,theta,-0.4351783234411659,11.08733457586084,4.365625,6.503125,3.5781250000000004,LN,HP,LNP
AY9SI,mar,alpha,2.790167902668964,12.096473217082014,4.365625,6.503125,3.5781250000000004,LN,HP,LNP
